user_id,profile_id,day,day_of_week,time
344,283,10,7,16:30:09
122,31,10,7,16:56:41
354,354,10,7,17:48:13
354,354,10,7,17:48:20
354,354,10,7,17:48:28
418,176,10,7,17:55:58
309,309,10,7,18:18:42
282,408,10,7,20:12:46
327,344,10,7,21:33:36
277,277,10,7,22:58:19
277,277,10,7,22:58:26
100,465,10,7,23:39:34
294,7,11,1,00:20:47
370,370,11,1,00:29:55
444,444,11,1,00:57:44
131,212,11,1,05:14:31
132,132,11,1,07:16:06
67,295,11,1,07:47:40
168,392,11,1,08:43:12
282,35,11,1,08:44:21
282,35,11,1,08:46:39
454,454,11,1,08:56:53
454,454,11,1,08:56:59
185,83,11,1,08:58:08
259,360,11,1,09:16:19
395,240,11,1,09:48:48
395,240,11,1,09:48:55
395,240,11,1,09:49:01
140,31,11,1,09:56:00
46,46,11,1,09:56:04
140,31,11,1,09:56:05
465,395,11,1,10:42:44
330,330,11,1,10:56:16
359,312,11,1,11:07:38
133,20,11,1,11:23:03
26,26,11,1,12:13:21
26,26,11,1,12:13:24
26,26,11,1,12:13:26
331,464,11,1,12:24:35
123,123,11,1,12:40:22
123,123,11,1,12:41:29
323,36,11,1,12:59:34
322,322,11,1,13:24:09
128,345,11,1,14:21:37
128,345,11,1,14:21:45
26,26,11,1,15:42:33
26,26,11,1,15:42:36
161,25,11,1,17:27:34
76,276,11,1,18:55:50
142,346,11,1,19:12:21
142,346,11,1,19:12:25
92,89,11,1,19:41:47
33,33,11,1,19:42:06
428,428,11,1,19:44:51
404,151,11,1,20:53:35
217,309,11,1,21:13:27
328,284,11,1,21:20:56
283,76,11,1,21:35:42
277,284,11,1,21:53:57
349,332,11,1,22:27:27
430,219,11,1,22:37:35
177,129,11,1,23:19:01
330,244,11,1,23:23:52
35,446,11,1,23:39:47
192,192,11,1,23:50:42
