user_id,day,day_of_week,time
358,8,5,16:19:37
358,8,5,16:21:05
358,8,5,16:21:43
148,8,5,16:44:47
318,8,5,16:49:39
120,8,5,16:53:37
204,8,5,17:20:22
101,8,5,17:27:11
7,8,5,17:27:28
7,8,5,17:28:05
115,8,5,17:28:11
63,8,5,17:52:13
375,8,5,18:11:32
278,8,5,18:15:08
86,8,5,18:49:49
120,8,5,18:58:10
255,8,5,19:15:37
123,8,5,19:21:54
258,8,5,19:22:10
223,8,5,19:22:14
185,8,5,19:24:54
185,8,5,19:26:56
185,8,5,19:27:12
185,8,5,19:29:29
1,8,5,19:39:13
314,8,5,19:56:42
320,8,5,20:02:01
307,8,5,20:38:35
363,8,5,20:39:21
120,8,5,20:47:32
163,8,5,21:33:47
137,8,5,21:42:36
255,8,5,22:15:38
15,8,5,22:22:36
120,8,5,22:43:07
115,8,5,22:44:33
222,8,5,23:06:36
78,8,5,23:35:56
255,9,6,00:05:50
406,9,6,00:06:27
408,9,6,00:06:58
120,9,6,00:17:16
90,9,6,00:18:36
217,9,6,00:32:03
217,9,6,00:33:23
255,9,6,00:51:43
255,9,6,00:52:05
255,9,6,00:52:37
120,9,6,01:45:56
120,9,6,01:46:14
120,9,6,01:46:26
375,9,6,02:00:53
36,9,6,02:45:28
86,9,6,06:42:30
63,9,6,07:22:09
63,9,6,07:22:35
406,9,6,07:24:46
222,9,6,07:35:47
432,9,6,07:38:23
120,9,6,08:00:30
310,9,6,08:26:54
310,9,6,08:27:01
115,9,6,08:28:16
363,9,6,08:32:59
418,9,6,08:38:05
120,9,6,08:39:07
331,9,6,08:41:59
312,9,6,08:44:15
327,9,6,08:54:48
148,9,6,08:58:33
320,9,6,09:00:33
406,9,6,09:33:04
258,9,6,09:36:20
163,9,6,09:54:56
50,9,6,09:56:19
63,9,6,10:05:42
217,9,6,10:17:06
115,9,6,10:41:36
299,9,6,10:47:17
7,9,6,11:10:15
148,9,6,11:29:46
255,9,6,11:38:13
120,9,6,11:42:26
429,9,6,11:43:27
201,9,6,11:44:01
292,9,6,11:46:51
408,9,6,11:53:48
456,9,6,11:55:25
50,9,6,12:00:07
50,9,6,12:00:18
280,9,6,12:03:02
404,9,6,12:03:44
184,9,6,12:04:35
255,9,6,12:04:39
412,9,6,12:05:34
7,9,6,12:05:48
96,9,6,12:06:12
358,9,6,12:06:29
248,9,6,12:06:33
358,9,6,12:09:27
358,9,6,12:09:43
280,9,6,12:13:37
432,9,6,12:13:37
280,9,6,12:13:48
76,9,6,12:13:56
